"Meridian","Associated Organ","Superclass","Label","Synonym","Abbreviation","Description","Reference",""
"Lung Meridian","UBERON:0002048","TARA:Primary_Meridian","Lung Meridian","Lung Meridian of Hand-Taiyin, meridian of the lung, LU","LU","","",""
"Large Intestine Meridian","UBERON:0000059","TARA:Primary_Meridian","Large Intestine Meridian","Large Intestine Meridian of Hand-Yangming, meridian of the large intestine, LI","LI","","",""
"Stomach Meridian","UBERON:0000945","TARA:Primary_Meridian","Stomach Meridian","Stomach Meridian of Foot-Yangming, meridan of the stomach, ST","ST","","",""
"Spleen Meridian","UBERON:0002106","TARA:Primary_Meridian","Spleen Meridian","Spleen Meridian of Foot-Taiyin, meridian of the spleen, SP","SP","","",""
"Heart Meridian","UBERON:0000948","TARA:Primary_Meridian","Heart Meridian","Heart Meridian of Hand-Shaoyin, meridian of the heart, HT","HT","","",""
"Small Intestine Meridian","UBERON:0002108","TARA:Primary_Meridian","Small Intestine Meridian","Small Intestine Meridian of Hand-Taiyang, meridian of the small intenstine, SI","SI","","",""
"Bladder Meridian","UBERON:0018707","TARA:Primary_Meridian","Bladder Meridian","Bladder Meridian of Foot-Taiyang, meridian of the bladder, meridan of the urinary bladder, urinary bladder meridian, BL, UB","BL, UB","","",""
"Kidney Meridian","UBERON:0002113","TARA:Primary_Meridian","Kidney Meridian","Kidney Meridian of Foot-Shaoyin, meridian of the kidney, KI","KI","","",""
"Pericardium Meridian","UBERON:0002407","TARA:Primary_Meridian","Pericardium Meridian","Pericardium Meridian of Hand-Jueyin, meridian of the pericardiam, PC","PC","","",""
"Triple Energizer Meridian","","TARA:Primary_Meridian","Triple Energizer Meridian","Triple Energizer Meridian of Hand-Shaoyang, meridian of triple energizer, Triple Warmer Meridian, Triple Heater Meridian, Triple Burner Meridan, San Jiao, Sanjiao, TE, TW, SJ, TB","TE, TW, SJ, TB","","",""
"Gallbladder Meridian","UBERON:0002110","TARA:Primary_Meridian","Gallbladder Meridian","Gallbladder Meridian of Foot-Shaoyang, meridian of the gallbladder, meridian of the gall bladder, gall bladder meridian, GB","GB","","",""
"Liver Meridian","UBERON:0002107","TARA:Primary_Meridian","Liver Meridian","Liver Meridian of Foot-Jueyin, meridian of the liver, LR","LR","","",""
"Du Channel","","TARA:Extra_Meridian","Governor Vessel","Du Channel, Du, GV","Du, GV","","",""
"Ren Channel","","TARA:Extra_Meridian","Conception Vessel","Ren Channel, RN, CV","RN, CV","","",""
