"Acupoint","Label","Innervation","Identified Nerve Location","Nerve Location URI","Nerve Relation","Expert Comments","","",""
"LU 1","LU 1","The intermediate supraclavicular nerve, the branches of the anterior thoracic nerve, and the lateral cutaneous branch of the first intercostal nerve. (Chinese acupuncture and moxibustion, 1999)","INTERMEDIATE SUPRACLAVICULAR NERVE","http://uri.interlex.org/base/ilx_0797476","TARA:hasRelatedNerve","","","",""
"LU 1","","","medial pectoral nerve","http://uri.interlex.org/base/ilx_0794975","TARA:hasRelatedNerve","","","",""
"LU 1","","","FIRST INTERCOSTAL NERVE","http://uri.interlex.org/base/ilx_0792193","TARA:hasRelatedNerve","","","",""
"LU 2","LU 2","The intermediate and lateral supraclavicular nerve, the branches of the anterior thoracic nerve, and the lateral cord of the brachial plexus. (Chinese acupuncture and moxibustion, 1999)","INTERMEDIATE SUPRACLAVICULAR NERVE	","http://uri.interlex.org/base/ilx_0797476","TARA:hasRelatedNerve","","","",""
"LU 2","","","LATERAL SUPRACLAVICULAR NERVE","http://uri.interlex.org/base/ilx_0797475","TARA:hasRelatedNerve","","","",""
"LU 2","","","medial pectoral nerve","http://uri.interlex.org/base/ilx_0794975","TARA:hasRelatedNerve","","","",""
"LU 2","","","BRACHIAL PLEXUS","http://purl.obolibrary.org/obo/UBERON_0001814","TARA:hasRelatedNerve","","","",""
"LU 3","LU 3","The lateral brachial cutaneous nerve at the place where the musculocutaneous nerve passes through. (Chinese acupuncture and moxibustion, 1999)","LATERAL CUTANEOUS NERVE OF FOREARM lateral brachial cutaneous nerve","http://uri.interlex.org/base/ilx_0797544","TARA:hasRelatedNerve","","","",""
"LU 3","","","MUSCULOCUTANEOUS NERVE","http://purl.obolibrary.org/obo/UBERON_0003724","TARA:hasRelatedNerve","","","",""
"LU 4","LU 4","The lateral brachial cutaneous nerve at the place where the musculo-cutaneous never passes through. (Chinese acupuncture and moxibustion, 1999)","LATERAL CUTANEOUS NERVE OF FOREARM lateral brachial cutaneous nerve","http://uri.interlex.org/base/ilx_0797544","TARA:hasRelatedNerve","","","",""
"LU 4","","","MUSCULOCUTANEOUS NERVE","http://purl.obolibrary.org/obo/UBERON_0003724","TARA:hasRelatedNerve","","","",""
"LU 5","LU 5","The lateral antebrachial cutaneous nerve and the radial nerve. (Chinese acupuncture and moxibustion, 1999)","lateral cutaneous nerve of the forearm","http://uri.interlex.org/base/ilx_0794951","TARA:hasRelatedNerve","","","",""
"LU 5","","","RADIAL NERVE","http://purl.obolibrary.org/obo/UBERON_0001492","TARA:hasRelatedNerve","","","",""
"LU 6","LU 6","The lateral antebrachial cutaneous nerve and the superficial ramus of the radial nerve. (Chinese acupuncture and moxibustion, 1999)","lateral cutaneous nerve of the forearm","http://uri.interlex.org/base/ilx_0794951","TARA:hasRelatedNerve","","","",""
"LU 6","","","superficial branch of radial nerve","http://uri.interlex.org/base/ilx_0797391","TARA:hasRelatedNerve","","","",""
"LU 7","LU 7","The lateral antebrachial cutaneous nerve and the superficial ramus of the radial nerve. (Chinese acupuncture and moxibustion, 1999)","lateral cutaneous nerve of the forearm","http://uri.interlex.org/base/ilx_0794951","TARA:hasRelatedNerve","","","",""
"LU 7","","","superficial branch of radial nerve","http://uri.interlex.org/base/ilx_0797391","TARA:hasRelatedNerve","","","",""
"LU 8","LU 8","The lateral antebrachial cutaneous nerve and the superficial branch of the radial nerve. (Chinese acupuncture and moxibustion, 1999)","lateral cutaneous nerve of the forearm","http://uri.interlex.org/base/ilx_0794951","TARA:hasRelatedNerve","","","",""
"LU 8","","","superficial branch of radial nerve","http://uri.interlex.org/base/ilx_0797391","TARA:hasRelatedNerve","","","",""
"LU 9","LU 9","The lateral antebrachial cutaneous nerve and superficial branch of the radial nerve. (Chinese acupuncture and moxibustion, 1999)","lateral cutaneous nerve of the forearm","http://uri.interlex.org/base/ilx_0794951","TARA:hasRelatedNerve","","","",""
"LU 9","","","superficial branch of radial nerve","http://uri.interlex.org/base/ilx_0797391","TARA:hasRelatedNerve","","","",""
"LU 10","LU 10","The superficial ramus of the radial nerve. (Chinese acupuncture and moxibustion, 1999)","superficial branch of radial nerve","http://uri.interlex.org/base/ilx_0797391","TARA:hasRelatedNerve","","","",""
"LU 11","LU 11","The terminal nerve network formed by the mixed branches of the lateral antebrachial cutaneous nerve and the superficial ramus of the radial nerve as well as the palmar digital proprial nerve of the median nerve. (Chinese acupuncture and moxibustion, 1999)","lateral cutaneous nerve of the forearm","http://uri.interlex.org/base/ilx_0794951","TARA:hasRelatedNerve","","","",""
"LU 11","","","superficial branch of radial nerve","http://uri.interlex.org/base/ilx_0797391","TARA:hasRelatedNerve","","","",""
"LU 11","","","proper palmar digital branches of median nerve","http://uri.interlex.org/base/ilx_0795018","TARA:hasRelatedNerve","","","",""
