"Acupoint","Superclass","Label","Pinyin Label","Synonym","Comment - Correct/Incorrect","Location","Indications","Acupuncture Method","Vasculature","Innervation","Reference","Reference-Synonym",""
"Taiyang","TARA:Extra_Acupoint","Taiyang","Taiyang","EX-HN 5, M-HN 9","","In the depression about one finger breadth posterior to the midpoint between the lateral end of the eyebrow and the outer canthus.","Headache, eye diseases, deviation of the eyes and mouth.","Puncture perpendicularly 0.3-0.5 inch, or prick to cause bleeding.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Yintang","TARA:Extra_Acupoint","Yintang","Yintang","EX-HN 3, M-HN 3","","Midway between the medial ends of the two eyebrows.","Headache, head heaviness, epistaxis, rhinorrhea, infantile convulsion, frontal headache, insomnia.","Puncture subcutaneously 0.3-0.5 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Shanglianquan","TARA:Extra_Acupoint","Shanglianquan","Shanglianquan","M-HN 21","","1 cun below the midpoint of the lower jaw, in the depression between the hyoid bone and the lower border of the jaw.","Alalia, salivation with stiff tongue, sore throat, difficulty in swallowing, loss of voice.","Puncture obliquely 0.8-1.2 inches toward the tongue root.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Erjian","TARA:Extra_Acupoint","Erjian","Erjian","EX-HN 6, M-HN 10","","Fold the auricle, the point is at the apex of the auricle.","Redness, swelling and pain of the eyes, febrile disease, nebula.","Puncture perpendicularly 0.1-0.2 inch or prick to cause bleeding.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Yuyao","TARA:Extra_Acupoint","Yuyao","Yuyao","EX-HN 4, M-HN 6","","At the midpoint of the eyebrow, directly above the pupil.","Pain in the supraorbital region, twitching of the eyelids, ptosis, cloudiness of the cornea, redness, swelling and pain of the eyes.","Puncture subcutaneously 0.3-0.5 inch.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Sishencong","TARA:Extra_Acupoint","Sishencong","Sishencong","EX-HN 1, M-HN 1","","A group of 4 points, at the vertex, 1 cun respectively posterior, anterior and lateral to Baihui (GV 20). (See Fig. 119)","Headache, vertigo, insomnia, poor memory, epilepsy.","Puncture subcutaneously 0.5-1.0 inch. Moxibustion is applicable.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Qiuhou","TARA:Extra_Acupoint","Qiuhou","Qiuhou","EX-HN 7, M-HN 8","","At the junction of the lateral 1/4 and the medial 3/4 of the infraorbital margin.","Eye diseases.","Push the eyeball upward gently, then puncture perpendicularly 0.5-1.2 inches along the orbital margin slowly without movements of lifting, thrusting, twisting and rotating.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Jiachengjiang","TARA:Extra_Acupoint","Jiachengjiang","Jiachengjiang","M-HN 18","","1 cun lateral to Chengjiang (CV 24).","Pain in the face, deviation of the eyes and mouth, spasm of facial muscle.","Puncture obliquely 0.5-1.0 inch..","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Jinjing","TARA:Extra_Acupoint","Jinjing","Jinjing","EX-HN 12, M-HN 20a, Jinjin","","On the veins on both sides of the frenulum of the tongue, Jinjin is on the left, Yuye, on the right.","Swelling of the tongue, vomiting, aphasia with stiffness of tongue.","Prick to cause bleeding.","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
"Yuye","TARA:Extra_Acupoint","Yuye","Yuye","EX-HN 13, M-HN 20b","","On the veins on both sides of the frenulum of the tongue, Jinjin is on the left, Yuye, on the right.","Swelling of the tongue, vomiting, aphasia with stiffness of tongue.","","","","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.","[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points.",""
