"Meridian","Associated Organ","Associated Organ URI","Superclass","Label","Synonym","Abbreviation","Chinese Label","Description","Reference",""
"Lung Meridian","UBERON:0002048","http://purl.obolibrary.org/obo/UBERON_0002048","TARA:Primary_Meridian","Lung Meridian","Lung Meridian of Hand-Taiyin, meridian of the lung, LU","LU","手太陰(阴)肺經(经,経)","The Lung meridian (LU) consists of 11 acupuncture points which begins at LU 1 (Zhongfu) on the upper anterior chest, lateral to the infraclavicular fossa, travels down the anterior-lateral aspect of the arm, and ends at LU 11 (Shaoshang) on the radial side of the thumb near the corner of the nail.","WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407",""
"Large Intestine Meridian","UBERON:0000059","http://purl.obolibrary.org/obo/UBERON_0000059","TARA:Primary_Meridian","Large Intestine Meridian","Large Intestine Meridian of Hand-Yangming, meridian of the large intestine, LI","LI","手陽(阳)明大腸(肠)經(经,経)","The Large Intestine meridian (LI) consists of 20 acupuncture points which begins at LI 1 (Shangyang) on the radial side of the index finger near the corner of the nail, travels up the dorsal-radial aspect of the arm, crosses over the shoulder and the side of the neck to the face, and ends at LI 20 (Yingxiang) in the nasolabial sulcus beside the ala of the nose.","WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407",""
"Stomach Meridian","UBERON:0000945","http://purl.obolibrary.org/obo/UBERON_0000945","TARA:Primary_Meridian","Stomach Meridian","Stomach Meridian of Foot-Yangming, meridan of the stomach, ST","ST","足陽(阳)明胃經(经,経)","The Stomach meridian (ST) consists of 45 acupuncture points which begins at ST 1 (Chengqi) on the face, between the eyeball and the infraorbital margin directly below the pupil, travels down across the face, neck, chest, and abdomen, continues down the anterior-lateral aspect of the leg, and ends at ST 45 (Lidui) on the lateral side of the second toe near the corner of the nail.","WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407",""
"Spleen Meridian","UBERON:0002106","http://purl.obolibrary.org/obo/UBERON_0002106","TARA:Primary_Meridian","Spleen Meridian","Spleen Meridian of Foot-Taiyin, meridian of the spleen, SP","SP","足太陰(阴)脾經(经,経)","The Spleen meridian (SP) consists of 21 acupuncture points which begins at SP 1 (Yinbai) on the medial side of the great toe near the corner of the nail, travels up along the medial aspect of the leg, continues up the abdomen and chest, and ends at SP 21 (Dabao) on the lateral thorax in the sixth intercostal space on the midaxillary line.","WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407",""
"Heart Meridian","UBERON:0000948","http://purl.obolibrary.org/obo/UBERON_0000948","TARA:Primary_Meridian","Heart Meridian","Heart Meridian of Hand-Shaoyin, meridian of the heart, HT","HT","手少陰(阴)心經(经,経)","The Heart meridian (HT) consists of 9 acupuncture points which begins at HT 1 (Jiquan) in the center of the axillary fossa, travels down the medial aspect of the arm, and ends at HT 9 (Shaochong) on the radial side of the little finger near the corner of the nail.","WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407",""
"Small Intestine Meridian","UBERON:0002108","http://purl.obolibrary.org/obo/UBERON_0002108","TARA:Primary_Meridian","Small Intestine Meridian","Small Intestine Meridian of Hand-Taiyang, meridian of the small intenstine, SI","SI","手太陽(阳)小腸(肠)經(经,経)","The Small Intestine meridian (SI) consists of 19 acupuncture points which begins at SI 1 (Shaoze) on the ulnar side of the little finger near the corner of the nail, travels up the dorsal-ulnar aspect of the arm, crosses the scapular region, and ascends along the lateral neck and cheek, ending at SI 19 (Tinggong) in the depression between the tragus and the mandibular condyloid process.","WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407",""
"Bladder Meridian","UBERON:0001255","http://purl.obolibrary.org/obo/UBERON_0001255","TARA:Primary_Meridian","Bladder Meridian","Bladder Meridian of Foot-Taiyang, meridian of the bladder, meridan of the urinary bladder, urinary bladder meridian, BL, UB","BL, UB","足太陽(阳)膀胱經(经,経)","The Bladder meridian (BL) consists of 67 acupuncture points which begins at BL 1 (Jingming) on the face in the depression just superior to the inner canthus of the eye, travels up over the head, descends down the back in two parallel lines flanking the spine, continues along the posterior aspect of the leg, and ends at BL 67 (Zhiyin) on the lateral side of the little toe near the corner of the nail.","WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407",""
"Kidney Meridian","UBERON:0002113","http://purl.obolibrary.org/obo/UBERON_0002113","TARA:Primary_Meridian","Kidney Meridian","Kidney Meridian of Foot-Shaoyin, meridian of the kidney, KI","KI","足少陰(阴)腎(肾)經(经,経)","The Kidney meridian (KI) consists of 27 acupuncture points which begins at KI 1 (Yongquan) on the sole of the foot in the depression formed when the toes are flexed, travels up along the medial aspect of the leg, continues up the abdomen and chest close to the midline, and ends at KI 27 (Shufu) on the anterior chest in the depression at the inferior border of the clavicle.","WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407",""
"Pericardium Meridian","UBERON:0002407","http://purl.obolibrary.org/obo/UBERON_0002407","TARA:Primary_Meridian","Pericardium Meridian","Pericardium Meridian of Hand-Jueyin, meridian of the pericardiam, PC","PC","手厥陰(阴)心包(包)經(经,経)","The Pericardium meridian (PC) consists of 9 acupuncture points which begins at PC 1 (Tianchi) on the anterior chest in the fourth intercostal space, lateral to the nipple, travels down the middle of the anterior aspect of the arm, and ends at PC 9 (Zhongchong) at the center of the tip of the middle finger.","WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407",""
"Triple Energizer Meridian","","","TARA:Primary_Meridian","Triple Energizer Meridian","Triple Energizer Meridian of Hand-Shaoyang, meridian of triple energizer, Triple Warmer Meridian, Triple Heater Meridian, Triple Burner Meridan, San Jiao, Sanjiao, TE, TW, SJ, TB","TE, TW, SJ, TB","手少陽(阳)三焦經(经,経)","The Triple Energizer meridian (TE) consists of 23 acupuncture points which begins at TE 1 (Guanchong) on the ulnar side of the ring finger near the corner of the nail, travels up the dorsal-middle aspect of the arm, ascends over the shoulder and the side of the neck, and circles around the ear, ending at TE 23 (Sizhukong) in the depression at the lateral end of the eyebrow.","WHO Standard Acupuncture Point Locations in the Western Pacific Region. World Health Organization (WHO), WHO Regional Office for the Western Pacific, 2008. https://iris.who.int/handle/10665/353407",""
