"Special Point","Label","Superclass","Description","Reference","","","","","","","","","","","","","","","","","","","","","",""
"Special Point on the Head and Trunk","Special Point on the Head and Trunk","TARA:Special_Point","A special, specific acupoint located on the Head and Trunk. Specific points refer to those of the fourteen meridians that have special properties and are grouped under special names. Specific Points on the Head and Trunk include: (1) Back-Shu Points, (2) Front-Mu Points, and (3) Crossing Points.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Special Point on the Limbs","Special Point on the Limbs","TARA:Special_Point","A special, specific acupoint located on the Limbs. Specific points refer to those of the fourteen meridians that have special properties and are grouped under special names. Specific Points on the Limbs include: (1) Five Shu Points, (2) Yuan-Primary Points, (3) Luo-Conneetiog Points, (4) Xi-Cleft Points, and (5) Eight Confluent Points.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Crossing Point","Crossing Point","Special Point on the Head and Trunk","Represents a Crossing Point. Crossing points are those at the intersections of two or more meridians. Distributed mainly on the head, face and trunk, and amounting to over ninety in total. They are key points used to treat meridian disorders of the areas where they are located.","D. Liangyue, G. Yijun, H. Shuhui, et al. Chinese Acupuncture and Moxibustion. Revised ed. Beijing: Foreign Languages Press; 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Shu Point","Shu Point","Special Point on the Limbs","Represents one of the five Shu Points. Each of the twelve main meridians has, below the elbow or knee, five specific points, namely, Jing-Well, Ying-Spring, Shu-Stream, Jing-River and He-Sea, which are termed Five Shu points in general. They are situated in the above order from the distal end of extremities to the elbow or knee. It is said in the first chapter of Miraculous Pivot that ""the qi of the twelve main meridians and fifteen collaterals flow all over the body. The flow of qi running in the meridians from the extremities to the elbow or knee is flourishing gradually."" The names of the five shu points image the flow of meridian qi as the flow of water.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point","Front-Mu Point","Special Point on the Head and Trunk","Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Bladder","Front-Mu Point of the Bladder","Front-Mu Point","The Front-Mu Point of the Bladder meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Small Intestine","Front-Mu Point of the Small Intestine","Front-Mu Point","The Front-Mu Point of the Small Intestine meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of Triple Energizer","Front-Mu Point of Triple Energizer","Front-Mu Point","The Front-Mu Point of the Triple Energizer meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Stomach","Front-Mu Point of the Stomach","Front-Mu Point","The Front-Mu Point of the Stomach meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Heart","Front-Mu Point of the Heart","Front-Mu Point","The Front-Mu Point of the Heart meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Spleen","Front-Mu Point of the Spleen","Front-Mu Point","The Front-Mu Point of the Spleen meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Liver","Front-Mu Point of the Liver","Front-Mu Point","The Front-Mu Point of the Liver meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Gallbladder","Front-Mu Point of the Gallbladder","Front-Mu Point","The Front-Mu Point of the Gallbladder meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Kidney","Front-Mu Point of the Kidney","Front-Mu Point","The Front-Mu Point of the Kidney meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
"Front-Mu Point of the Lung","Front-Mu Point of the Lung","Front-Mu Point","The Front-Mu Point of the Lung meridian. Front-Mu points are those points on the chest and abdomen where the qi of the respective zang-fu organs is infused and converged. Located close to their corresponding zang-fu organs, the Front-Mu points play a significant role in the diagnosis and treatment of the disorders of the internal organs.","Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 6, An Introduction to Acupunture Points, Sec. III, Specific Points. ISBN 978-7-119-01758-7.","","","","","","","","","","","","","","","","","","","","","",""
