"Acupoint","Label","Vasculature","Identified Vasculature Location","Vasculature URI","Vasculature Relation","Expert Comments","Curator Comment","","",""
"LU 1","LU 1","Superolaterally, the axillary artery and vein, the thoracoacromial artery and vein. (Chinese acupuncture and moxibustion, 1999)","AXILLARY ARTERY","http://purl.obolibrary.org/obo/UBERON_0001394","TARA:hasRelatedArtery","","","","",""
"LU 1","","","AXILLARY VEIN","http://purl.obolibrary.org/obo/UBERON_0000985","TARA:hasRelatedVein","","","","",""
"LU 1","","","THORACOACROMIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001395","TARA:hasRelatedArtery","","","","",""
"LU 1","","","THORACOACROMIAL VEIN","http://purl.obolibrary.org/obo/UBERON_8600074","TARA:hasRelatedVein","","","","",""
"LU 2","LU 2","The cephalic vein, the thoracoacromial artery and vein; inferiorly, the axillary artery. (Chinese acupuncture and moxibustion, 1999)","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LU 2","","","THORACOACROMIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001395","TARA:hasRelatedArtery","","","","",""
"LU 2","","","THORACOACROMIAL VEIN","http://purl.obolibrary.org/obo/UBERON_8600074","TARA:hasRelatedVein","","","","",""
"LU 2","","","AXILLARY ARTERY","http://purl.obolibrary.org/obo/UBERON_0001394","TARA:hasRelatedArtery","","","","",""
"LU 3","LU 3","The cephalic vein and muscular branches of the brachial artery and vein. (Chinese acupuncture and moxibustion, 1999)","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LU 3","","","BRACHIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001398","TARA:hasRelatedArtery","","","","",""
"LU 3","","","BRACHIAL VEIN","http://purl.obolibrary.org/obo/UBERON_0001413","TARA:hasRelatedVein","","","","",""
"LU 4","LU 4","The cephalic vein, cular branches of the brachial artery and vein. (Chinese acupuncture and moxibustion, 1999)","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LU 4","","","BRACHIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001398","TARA:hasRelatedArtery","","","","",""
"LU 4","","","BRACHIAL VEIN","http://purl.obolibrary.org/obo/UBERON_0001413","TARA:hasRelatedVein","","","","",""
"LU 5","LU 5","The branches of the radial recurrent artery and vein, the cephalic vein. (Chinese acupuncture and moxibustion, 1999)","RADIAL RECURRENT ARTERY","http://uri.interlex.org/base/ilx_0797494","TARA:hasRelatedArtery","","","","",""
"LU 5","","","radial recurrent vein","http://uri.interlex.org/base/ilx_0797495","TARA:hasRelatedVein","","","","",""
"LU 5","","","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LU 6","LU 6","The cephalic vein, the radial artery and vein. (Chinese acupuncture and moxibustion, 1999)","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LU 6","","","RADIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001404","TARA:hasRelatedArtery","","","","",""
"LU 6","","","RADIAL VEIN","http://purl.obolibrary.org/obo/UBERON_8600092","TARA:hasRelatedVein","","","","",""
"LU 7","LU 7","The cephalic vein, branches of the radial artery and vein. (Chinese acupuncture and moxibustion, 1999)","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LU 7","","","RADIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001404","TARA:hasRelatedArtery","","","","",""
"LU 7","","","RADIAL VEIN","http://purl.obolibrary.org/obo/UBERON_8600092","TARA:hasRelatedVein","","","","",""
"LU 8","LU 8","Laterally, the radial artery and vein. (Chinese acupuncture and moxibustion, 1999)","RADIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001404","TARA:hasRelatedArtery","","","","",""
"LU 8","","","RADIAL VEIN","http://purl.obolibrary.org/obo/UBERON_8600092","TARA:hasRelatedVein","","","","",""
"LU 9","LU 9","The radial artery and vein. (Chinese acupuncture and moxibustion, 1999)","RADIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001404","TARA:hasRelatedArtery","","","","",""
"LU 9","","","RADIAL VEIN","http://purl.obolibrary.org/obo/UBERON_8600092","TARA:hasRelatedVein","","","","",""
"LU 10","LU 10","Venules of the thumb draining to the cephalic vein. (Chinese acupuncture and moxibustion, 1999)","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LU 11","LU 11","The arterial and venous network formed by the proper palmar digital artery and veins. (Chinese acupuncture and moxibustion, 1999)","PROPER PALMAR DIGITAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0006137","TARA:hasRelatedArtery","","","","",""
"LU 11","","","PROPER PALMAR DIGITAL VEIN","http://purl.obolibrary.org/obo/UBERON_0004561","TARA:hasRelatedVein","","","","",""
"LI 1","LI 1","The arterial and venous network formed by the dorsal digital arteries and veins. (Chinese acupuncture and moxibustion, 1999)","DORSAL DIGITAL ARTERIES","http://purl.obolibrary.org/obo/UBERON_0006163","TARA:hasRelatedArtery","","","","",""
"LI 1","","","DORSAL DIGITAL VEINS","http://uri.interlex.org/base/ilx_0797525","TARA:hasRelatedVein","","","","",""
"LI 2","LI 2","The dorsal digital and plamar digital proper arteries and veins derived from the radial artery and vein. (Chinese acupuncture and moxibustion, 1999)","DORSAL DIGITAL ARTERIES","http://purl.obolibrary.org/obo/UBERON_0006163","TARA:hasRelatedArtery","","","","",""
"LI 2","","","DORSAL DIGITAL VEINS","http://uri.interlex.org/base/ilx_0797525","TARA:hasRelatedVein","","","","",""
"LI 2","","","PROPER PALMAR DIGITAL ARTERIES","http://purl.obolibrary.org/obo/UBERON_0006137","TARA:hasRelatedArtery","","","","",""
"LI 2","","","PROPER PALMAR DIGITAL VEIN","http://purl.obolibrary.org/obo/UBERON_0004561","TARA:hasRelatedVein","","","","",""
"LI 3","LI 3","The dorsal venous network of the hand and the branch of the first dorsal metacarpal artery. (Chinese acupuncture and moxibustion, 1999)","dorsal venous network of hand","http://uri.interlex.org/base/ilx_0797526","TARA:hasRelatedVein","","","","",""
"LI 3","","","FIRST DORSAL METACARPAL ARTERY","http://uri.interlex.org/base/ilx_0797527","TARA:hasRelatedArtery","","","","",""
"LI 4","LI 4","The venous network of the dorsum of the hand. (Chinese acupuncture and moxibustion, 1999)","dorsal venous network of hand","http://uri.interlex.org/base/ilx_0797526","TARA:hasRelatedVein","","","","",""
"LI 5","LI 5","The cephalic vein, the radial artery and its dorsal carpal branch. (Chinese acupuncture and moxibustion, 1999)","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LI 5","","","RADIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001404","TARA:hasRelatedArtery","","","","",""
"LI 6","LI 6","The cephalic vein. (Chinese acupuncture and moxibustion, 1999)","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LI 7","LI 7","The muscular branch of the radial artery, the cephalic vein. (Chinese acupuncture and moxibustion, 1999)","RADIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001404","TARA:hasRelatedArtery","","","","",""
"LI 7","","","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LI 8","LI 8","See Wenliu (LI 7). (Chinese acupuncture and moxibustion, 1999)","RADIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001404","TARA:hasRelatedArtery","","","","",""
"LI 8","","","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LI 9","LI 9","See Wenliu (LI 7). (Chinese acupuncture and moxibustion, 1999)","RADIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001404","TARA:hasRelatedArtery","","","","",""
"LI 9","","","CEPHALIC VEIN","http://purl.obolibrary.org/obo/UBERON_0001106","TARA:hasRelatedVein","","","","",""
"LI 10","LI 10","The branches of the radial recurrent artery and vein. (Chinese acupuncture and moxibustion, 1999)","RADIAL RECURRENT ARTERY","http://uri.interlex.org/base/ilx_0797494","TARA:hasRelatedArtery","","","","",""
"LI 10","","","radial recurrent vein","http://uri.interlex.org/base/ilx_0797495","TARA:hasRelatedVein","","","","",""
"LI 11","LI 11","The branches of the radial recurrent artery and vein. (Chinese acupuncture and moxibustion, 1999)","RADIAL RECURRENT ARTERY","http://uri.interlex.org/base/ilx_0797494","TARA:hasRelatedArtery","","","","",""
"LI 11","","","radial recurrent vein","http://uri.interlex.org/base/ilx_0797495","TARA:hasRelatedVein","","","","",""
"LI 12","LI 12","The radial collateral artery and vein. (Chinese acupuncture and moxibustion, 1999)","RADIAL COLLATERAL ARTERY","http://uri.interlex.org/base/ilx_0797497","TARA:hasRelatedArtery","","","","",""
"LI 12","","","radial collateral vein","http://uri.interlex.org/base/ilx_0797528","TARA:hasRelatedVein","","","","",""
"LI 13","LI 13","The radial collateral artery and vein. (Chinese acupuncture and moxibustion, 1999)","RADIAL COLLATERAL ARTERY","http://uri.interlex.org/base/ilx_0797497","TARA:hasRelatedArtery","","","","",""
"LI 13","","","radial collateral vein","http://uri.interlex.org/base/ilx_0797528","TARA:hasRelatedVein","","","","",""
"LI 14","LI 14","The branches of posterior circumflex humeral artery and vein, the deep brachial artery and vein. (Chinese acupuncture and moxibustion, 1999)","POSTERIOR CIRCUMFLEX HUMERAL ARTERY","http://uri.interlex.org/base/ilx_0797496","TARA:hasRelatedArtery","","","","",""
"LI 14","","","POSTERIOR CIRCUMFLEX HUMERAL VEIN","http://purl.obolibrary.org/obo/UBERON_0006200","TARA:hasRelatedVein","","","","",""
"LI 14","","","DEEP BRACHIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001399","TARA:hasRelatedArtery","","","","",""
"LI 14","","","DEEP BRACHIAL VEIN","http://uri.interlex.org/base/ilx_0797498","TARA:hasRelatedVein","","","","",""
"LI 15","LI 15","The posterior circumflex artery and vein. (Chinese acupuncture and moxibustion, 1999)","POSTERIOR CIRCUMFLEX HUMERAL ARTERY","http://uri.interlex.org/base/ilx_0797496","TARA:hasRelatedArtery","","","","",""
"LI 15","","","POSTERIOR CIRCUMFLEX HUMERAL VEIN","http://purl.obolibrary.org/obo/UBERON_0006200","TARA:hasRelatedVein","","","","",""
"LI 16","LI 16","Deeper, the suprascapular artery and vein. (Chinese acupuncture and moxibustion, 1999)","SUPRASCAPULAR ARTERY","http://purl.obolibrary.org/obo/UBERON_0039847","TARA:hasRelatedArtery","","","","",""
"LI 16","","","SUPRASCAPULAR VEIN","http://purl.obolibrary.org/obo/UBERON_0039187","TARA:hasRelatedVein","","","","",""
"LI 17","LI 17","The external jugular vein. (Chinese acupuncture and moxibustion, 1999)","EXTERNAL JUGULAR VEIN","http://purl.obolibrary.org/obo/UBERON_0001101","TARA:hasRelatedVein","","","","",""
"LI 18","LI 18","Deeper, on the medial side, the ascending cervical artery and vein. (Chinese acupuncture and moxibustion, 1999)","ASCENDING CERVICAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0012322","TARA:hasRelatedArtery","","","","",""
"LI 18","","","ascending cervical vein","http://uri.interlex.org/base/ilx_0797499","TARA:hasRelatedVein","","","","",""
"LI 19","LI 19","The superior labial branches of the facial artery and vein. (Chinese acupuncture and moxibustion, 1999)","FACIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001612","TARA:hasRelatedArtery","","","","",""
"LI 19","","","FACIAL VEIN","http://purl.obolibrary.org/obo/UBERON_0001653","TARA:hasRelatedVein","","","","",""
"LI 20","LI 20","The facial artery and vein, the branches of the infraorbital artery and vein. (Chinese acupuncture and moxibustion, 1999)","FACIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001612","TARA:hasRelatedArtery","","","","",""
"LI 20","","","FACIAL VEIN","http://purl.obolibrary.org/obo/UBERON_0001653","TARA:hasRelatedVein","","","","",""
"LI 20","","","INFRAORBITAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0004646","TARA:hasRelatedArtery","","","","",""
"LI 20","","","infraorbital vein","http://uri.interlex.org/base/ilx_0797500","TARA:hasRelatedVein","","","","",""
"ST 1","ST 1","The branches of the infraorbital artery and infraorbital vein, and ophthalmic artery and ophthalmic veins. (Chinese acupuncture and moxibustion, 1999)","INFRAORBITAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0004646","TARA:hasRelatedArtery","","","","",""
"ST 1","","","infraorbital vein","http://uri.interlex.org/base/ilx_0797500","TARA:hasRelatedVein","","","","",""
"ST 1","","","OPHTHALMIC ARTERY","http://purl.obolibrary.org/obo/UBERON_0001619","TARA:hasRelatedArtery","","","","",""
"ST 1","","","OPHTHALMIC VEIN","http://purl.obolibrary.org/obo/UBERON_0011191","TARA:hasRelatedVein","","","","",""
"ST 2","ST 2","The branches of facial artery and vein, the infraorbital artery and vein. (Chinese acupuncture and moxibustion, 1999)","FACIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001612","TARA:hasRelatedArtery","","","","",""
"ST 2","","","FACIAL VEIN","http://purl.obolibrary.org/obo/UBERON_0001653","TARA:hasRelatedVein","","","","",""
"ST 2","","","INFRAORBITAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0004646","TARA:hasRelatedArtery","","","","",""
"ST 2","","","infraorbital vein","http://uri.interlex.org/base/ilx_0797500","TARA:hasRelatedVein","","","","",""
"ST 3","ST 3","The branches of the facial and infraorbital arteries and veins. (Chinese acupuncture and moxibustion, 1999)","FACIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001612","TARA:hasRelatedArtery","","","","",""
"ST 3","","","FACIAL VEIN","http://purl.obolibrary.org/obo/UBERON_0001653","TARA:hasRelatedVein","","","","",""
"ST 3","","","INFRAORBITAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0004646","TARA:hasRelatedArtery","","","","",""
"ST 3","","","infraorbital vein","http://uri.interlex.org/base/ilx_0797500","TARA:hasRelatedVein","","","","",""
"ST 4","ST 4","The facial artery and vein. (Chinese acupuncture and moxibustion, 1999)","FACIAL ARTERY","http://purl.obolibrary.org/obo/UBERON_0001612","TARA:hasRelatedArtery","","","","",""
"ST 4","","","FACIAL VEIN","http://purl.obolibrary.org/obo/UBERON_0001653","TARA:hasRelatedVein","","","","",""
