Label,WHO Location,Normalized Who Location,What Changed
LU 1,"On the anterior thoracic region, at the same level as the first intercostal space, lateral to the infraclavicular fossa, 6 B-cun lateral to the anterior median line.
Note 1: After locating LU2, LU1 is located 1 B-cun inferior to LU2.
Note 2: ST14, KI26, CV20 and LU1 are located on the transverse line along the first intercostal space.","On the anterior thoracic region, at the same level as the first intercostal space, lateral to the infraclavicular fossa, 6 B-cun lateral to the anterior median line.
- Note 1: After locating LU 2, LU 1 is located 1 B-cun inferior to LU 2.
- Note 2: ST 14, KI 26, CV 20 and LU 1 are located on the transverse line along the first intercostal space.",normalized acupoint code 'LU2' to 'LU 2'; normalized acupoint code 'LU1' to 'LU 1'; normalized acupoint code 'ST14' to 'ST 14'; normalized acupoint code 'KI26' to 'KI 26'; normalized acupoint code 'CV20' to 'CV 20'; moved 'Note' to a new line prefixed with '- '.
LU 2,"On the anterior thoracic region, in the depression of the infraclavicular fossa, medial to the coracoid process of the scapula, 6 B-cun lateral to the anterior median line.
Note 1: After identifying the deltopectoral triangle when the arm is flexed and slightly abducted against resistance, LU2 is in the centre of the deltopectoral triangle.
Note 2: ST13, KI27, CV21 and LU2 are located on the transverse line along the inferior border of the clavicle.","On the anterior thoracic region, in the depression of the infraclavicular fossa, medial to the coracoid process of the scapula, 6 B-cun lateral to the anterior median line.
- Note 1: After identifying the deltopectoral triangle when the arm is flexed and slightly abducted against resistance, LU 2 is in the centre of the deltopectoral triangle.
- Note 2: ST 13, KI 27, CV 21 and LU 2 are located on the transverse line along the inferior border of the clavicle.",normalized acupoint code 'LU2' to 'LU 2'; normalized acupoint code 'ST13' to 'ST 13'; normalized acupoint code 'KI27' to 'KI 27'; normalized acupoint code 'CV21' to 'CV 21'; moved 'Note' to a new line prefixed with '- '.
LU 3,"On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 3 B-cun inferior to the anterior axillary fold. Note: Longitudinally, LU3 is located at the same level as the junction of the upper one third and lower two thirds of the line con- necting the level with anterior axillary fold to LU5.","On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 3 B-cun inferior to the anterior axillary fold.
- Note: Longitudinally, LU 3 is located at the same level as the junction of the upper one third and lower two thirds of the line connecting the level with anterior axillary fold to LU 5.",rejoined split word 'con- necting' into 'connecting'; normalized acupoint code 'LU3' to 'LU 3'; normalized acupoint code 'LU5' to 'LU 5'; moved 'Note' to a new line prefixed with '- '.
LU 4,"On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 4 B-cun inferior to the anterior axillary fold.","On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 4 B-cun inferior to the anterior axillary fold.",No changes needed.
LU 5,"On the anterior aspect of the elbow, at the cubital crease, in the depression lateral to the biceps brachii tendon.
Note: With the elbow flexed, LU5 is located at the cubital crease, between LI11 and PC3, separated from PC3 by the biceps brachii tendon.","On the anterior aspect of the elbow, at the cubital crease, in the depression lateral to the biceps brachii tendon.
- Note: With the elbow flexed, LU 5 is located at the cubital crease, between LI 11 and PC 3, separated from PC 3 by the biceps brachii tendon.",normalized acupoint code 'LU5' to 'LU 5'; normalized acupoint code 'LI11' to 'LI 11'; normalized acupoint code 'PC3' to 'PC 3'; moved 'Note' to a new line prefixed with '- '.
LU 6,"On the anterolateral aspect of the forearm, on the line connecting LU5 with LU9, 7 B- cun superior to the palmar wrist crease. Note: LU6 is 5 B-cun inferior to LU5, 1 B-cun superior to the midpoint of the line connecting LU5 with LU9.","On the anterolateral aspect of the forearm, on the line connecting LU 5 with LU 9, 7 B-cun superior to the palmar wrist crease.
- Note: LU 6 is 5 B-cun inferior to LU 5, 1 B-cun superior to the midpoint of the line connecting LU 5 with LU 9.",closed the erroneous space in 'B- cun' to 'B-cun'; normalized acupoint code 'LU5' to 'LU 5'; normalized acupoint code 'LU9' to 'LU 9'; normalized acupoint code 'LU6' to 'LU 6'; moved 'Note' to a new line prefixed with '- '.
LU 7,"On the radial aspect of the forearm, between the tendons of the abductor pollicis longus and the extensor pollicis brevis muscles, in the groove for the abductor pollicis longus tendon, 1.5 B-cun superior to the palmar wrist crease.","On the radial aspect of the forearm, between the tendons of the abductor pollicis longus and the extensor pollicis brevis muscles, in the groove for the abductor pollicis longus tendon, 1.5 B-cun superior to the palmar wrist crease.",No changes needed.
LU 8,"On the anterolateral aspect of the forearm, between the radial styloid process and the radial artery, 1 B-cun superior to the palmar wrist crease. Note: 1 B-cun superior to LU9.","On the anterolateral aspect of the forearm, between the radial styloid process and the radial artery, 1 B-cun superior to the palmar wrist crease.
- Note: 1 B-cun superior to LU 9.",normalized acupoint code 'LU9' to 'LU 9'; moved 'Note' to a new line prefixed with '- '.
LU 9,"On the anterolateral aspect of the wrist, between the radial styloid process and the scaphoid bone, in the depression ulnar to the abductor pollicis longus tendon. Note: On the radial side of the palmar wrist crease, over the radial artery.","On the anterolateral aspect of the wrist, between the radial styloid process and the scaphoid bone, in the depression ulnar to the abductor pollicis longus tendon.
- Note: On the radial side of the palmar wrist crease, over the radial artery.",moved 'Note' to a new line prefixed with '- '.
LU 10,"On the palm, radial to the midpoint of the first metacarpal bone, at the border between the red and white flesh.","On the palm, radial to the midpoint of the first metacarpal bone, at the border between the red and white flesh.",No changes needed.
