Label,Indications-extracted,indications-normalized,What Changed
LU 1,"Cough, asthma, pain in the chest, shoulder and back; fullness of the chest.","cough, asthma, pain in the chest, pain in the shoulder, pain in the back, fullness in the chest","Removed trailing period; split 'pain in the chest, shoulder and back' into 'pain in the chest, pain in the shoulder, pain in the back'."
LU 2,"Cough, asthma, pain in the chest, shoulder and arm, fullness in the chest.","cough, asthma, pain in the chest, pain in the shoulder, pain in the arm, fullness in the chest","Removed trailing period; split 'pain in the chest, shoulder and arm' into 'pain in the chest, pain in the shoulder, pain in the arm'."
LU 3,"Asthma, epistaxis, pain in the medial aspect of the upper arm.","asthma, epistaxis, pain in the medial aspect of the upper arm",Removed trailing period.
LU 4,"Cough, fullness in the chest, pain in the medial aspect of the upper arm.","cough, fullness in the chest, pain in the medial aspect of the upper arm",Removed trailing period.
LU 5,"Cough, hemoptysis, afternoon fever, asthma, sore throat, fullness in the chest, infantile convulsions, spasmodic pain of the elbow and arm, mastitis.","cough, hemoptysis, afternoon fever, asthma, sore throat, fullness in the chest, infantile convulsion, spasmodic pain of the elbow, spasmodic pain of the arm, mastitis","Removed trailing period; split 'spasmodic pain of the elbow and arm' into 'spasmodic pain of the elbow, spasmodic pain of the arm'."
LU 6,"Cough, pain in the chest, asthma, hemoptysis, sore throat, spasmodic pain of the elbow and arm.","cough, pain in the chest, asthma, hemoptysis, sore throat, spasmodic pain of the elbow, spasmodic pain of the arm","Removed trailing period; split 'spasmodic pain of the elbow and arm' into 'spasmodic pain of the elbow, spasmodic pain of the arm'."
LU 7,"Headache, migraine, neck rigidity, cough, asthma, sore throat, facial paralysis, toothache, pain and weakness of the wrist.","headache, migraine, neck rigidity, cough, asthma, sore throat, facial paralysis, toothache, pain in the wrist, weakness of the wrist","Removed trailing period; split 'pain and weakness of the wrist' into 'pain in the wrist, weakness of the wrist'."
LU 8,"Cough, asthma, fever, pain in the chest, sore throat, pain in the wrist.","cough, asthma, fever, pain in the chest, sore throat, pain in the wrist",Removed trailing period.
LU 9,"Cough, asthma, hemoptysis, sore throat, palpitation, pain in the chest, wrist and arm.","cough, asthma, hemoptysis, sore throat, palpitation, pain in the chest, pain in the wrist, pain in the arm","Removed trailing period; split 'pain in the chest, wrist and arm' into 'pain in the chest, pain in the wrist, pain in the arm'."
LU 10,"Cough,hemoptysis, sore throat, loss of voice, fever, feverish sensation in the palm. .","cough, hemoptysis, sore throat, loss of voice, fever, feverish sensation in the palm",Removed trailing period.
LU 11,"Sore throat, cough, asthma, epistaxis, fever, loss of consciousness, mania, spasmodic pain of the thumb.","sore throat, cough, asthma, epistaxis, fever, loss of consciousness, mania, spasmodic pain of the thumb",Removed trailing period.
,,,
LI 1,"Toothache, sore throat, swelling of the submandibular region, numbness of fingers, febrile diseases with anhidrosis, loss of consciousness.","toothache, sore throat, swelling of the submandibular region, numbness of fingers, febrile disease with anhidrosis, loss of consciousness",Removed trailing period.
LI 2,"Blurring of vision, Epistaxis, toothache, sore throat, febrile diseases.","blurred vision, epistaxis, toothache, sore throat, febrile disease",Removed trailing period.
LI 3,"Toothache, ophthalmalgia, sore throat, redness and swelling of fingers and the dorsum of the hand.","toothache, ophthalmalgia, sore throat, redness of fingers, swelling of fingers, redness of the dorsum of the hand, swelling of the dorsum of the hand",Removed trailing period; split 'redness and swelling of fingers and the dorsum of the hand' into separate condition/location combinations.
