"Artcle-URI","Article-Title","Acupoints-Extracted","Acupoints-Normalized","Acupoints-Mapped","Acupoints-Unmappable","Acupoints_TARA_IDs","Comment for internal use (CORE)","Comment from TEAM-Core","Comment","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD005062.pub4","[Intervention Review] Acupuncture for epilepsy","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD008400.pub3","[Intervention Review] Acupuncture for mumps in children","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jpsychires.2013.02.004","A 6-week randomized controlled trial with 4-week follow-up of acupuncture combined with paroxetine in patients with major depressive disorder","GV 20, EX-HN 3, GV 16, GV 14, GB 20, PC 6, SP 6","GV 20, EX-HN 3, GV 16, GV 14, GB 20, PC 6, SP 6","GV 20, Yintang, GV 16, GV 14, GB 20, PC 6, SP 6","","TARA:3386254, TARA:3135569, TARA:3361967, TARA:8452754, TARA:2324295, TARA:4311153, TARA:4385250","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/aim.26.2.69","A blinded randomised trial of acupuncture (manual and electroacupuncture) compared with a non-penetrating sham for the symptoms of osteoarthritis of the knee","LI 4, SP 10, Xiyan, SP 9, GB 34, ST 36, LIV 3, BL 40, BL 57","LI 4, SP 10, Xiyan, SP 9, GB 34, ST 36, LIV 3, BL 40, BL 57","LI 4, SP 10, Xiyan, SP 9, GB 34, ST 36, LR 3, BL 40, BL 57","","TARA:0859695, TARA:8433932, TARA:0926802, TARA:3553465, TARA:8758950, TARA:6463344, TARA:6499349, TARA:5290080, TARA:4589241","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/21543008.0/","A case of aggravation of hemolytic anemia, elevated liver enzymes and low platelet count syndrome after delivery","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10437262.0/","A clinical observation on coronary heart disease treated by otopuncture at heart otopoint","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"uri not found","A Clinical Observation on Treating Chronic Insomnia by the Combination of Acupuncture and Craniosacral Therapy","DU 20, GB 20, PC 6, SP 6, KI 3, BL 20, BL 15, ST 36, DU 24, RN 6","DU 20, GB 20, PC 6, SP 6, KI 3, BL 20, BL 15, ST 36, DU 24, RN 6","GV 20, GB 20, PC 6, SP 6, KI 3, BL 20, BL 15, ST 36, GV 24, CV 6","","TARA:3386254, TARA:2324295, TARA:4311153, TARA:4385250, TARA:4362146, TARA:3283628, TARA:5797983, TARA:6463344, TARA:7679931, TARA:8833337","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1134/S1047197911010054","A Clinical Observation on Treating Periarthritis of the Shoulder by Needling at Yinlingquan (SP9) Combined with Manipulation","SP 9, S 19, GB 21, SI 11, S 112, ST 12, GB 20, GB 34, ST 38, BL 57","SP 9, SI 9, GB 21, SI 11, SI 12, ST 12, GB 20, GB 34, ST 38, BL 57","SP 9, SI 9, GB 21, SI 11, SI 12, ST 12, GB 20, GB 34, ST 38, BL 57","","TARA:3553465, TARA:2187225, TARA:5389461, TARA:4122792, TARA:5888779, TARA:2031703, TARA:2324295, TARA:8758950, TARA:3182190, TARA:4589241","find paper in our drive","fixed","","","","","","","","","","","","","","","","","","",""
"uri not found","A Clinical Observation on Treating Urinary Retention Following Cervical Carcinoma Radical Operation by Acupuncture of ""Warming Waterways""","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/S2005-2901(11)60005-8","A Clinical Pilot Study Comparing Traditional Acupuncture to Combined Acupuncture for Treating Headache, Trigeminal Neuralgia and Retro-auricular Pain in Facial Palsy","GB 8, GB 14, GB 20, TaiYang, TW 5, GB 41, ST 8, YinTang, GV 23, LI 4, ST 44, BL 2, BL 10, BL 60, GV 14, GV 16, SI 3, LU 7, GV 20, Sishencong, LR 3, PC 6, LR 2, GB 38, ST 40, CV 12, BL 20, SP 3, SP 9, ST 36, SP 6, CV 6, SP 10, LR 8, CV 14, CV 4, KI 7, KI 3, BL 23, GB 21, PC 6, GB 34, ST 41, SI 5, ST 43, GB 41, ST 45, LI 1, LI 11, SI 5, LI 5, HT 8, LU 10, SP 2, LR 1, HT 9, KI 19, HT 3, GB 43, GB 44, KI 10, LR 8, LU 8, LR 4","GB 8, GB 14, GB 20, TaiYang, TW 5, GB 41, ST 8, YinTang, GV 23, LI 4, ST 44, BL 2, BL 10, BL 60, GV 14, GV 16, SI 3, LU 7, GV 20, Sishencong, LR 3, PC 6, LR 2, GB 38, ST 40, CV 12, BL 20, SP 3, SP 9, ST 36, SP 6, CV 6, SP 10, LR 8, CV 14, CV 4, KI 7, KI 3, BL 23, GB 21, PC 6, GB 34, ST 41, SI 5, ST 43, GB 41, ST 45, LI 1, LI 11, SI 5, LI 5, HT 8, LU 10, SP 2, LR 1, HT 9, KI 19, HT 3, GB 43, GB 44, KI 10, LR 8, LU 8, LR 4","GB 8, GB 14, GB 20, Taiyang, TE 5, GB 41, ST 8, Yintang, GV 23, LI 4, ST 44, BL 2, BL 10, BL 60, GV 14, GV 16, SI 3, LU 7, GV 20, Sishencong, LR 3, PC 6, LR 2, GB 38, ST 40, CV 12, BL 20, SP 3, SP 9, ST 36, SP 6, CV 6, SP 10, LR 8, CV 14, CV 4, KI 7, KI 3, BL 23, GB 21, PC 6, GB 34, ST 41, SI 5, ST 43, GB 41, ST 45, LI 1, LI 11, SI 5, LI 5, HT 8, LU 10, SP 2, LR 1, HT 9, KI 19, HT 3, GB 43, GB 44, KI 10, LR 8, LU 8, LR 4","","TARA:5363236, TARA:9987270, TARA:2324295, TARA:9534465, TARA:8393005, TARA:3668538, TARA:9946635, TARA:3135569, TARA:7690229, TARA:0859695, TARA:8440155, TARA:8104948, TARA:0242146, TARA:5047947, TARA:8452754, TARA:3361967, TARA:0220496, TARA:3515622, TARA:3386254, TARA:9610280, TARA:6499349, TARA:4311153, TARA:6862058, TARA:9968219, TARA:9531666, TARA:0434959, TARA:3283628, TARA:3003448, TARA:3553465, TARA:6463344, TARA:4385250, TARA:8833337, TARA:8433932, TARA:1074531, TARA:4823591, TARA:9921528, TARA:9881298, TARA:4362146, TARA:0992296, TARA:5389461, TARA:4311153, TARA:8758950, TARA:6019290, TARA:0669306, TARA:7661549, TARA:3668538, TARA:2260472, TARA:6314936, TARA:8923096, TARA:0669306, TARA:5677319, TARA:6707910, TARA:2459635, TARA:6894093, TARA:2131658, TARA:8651539, TARA:5435505, TARA:2385378, TARA:8885103, TARA:6845331, TARA:8716769, TARA:1074531, TARA:6531052, TARA:4325595","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1142/S0192415X0600376X","A Clinical Study of Acupuncture and SSP (Silver Spike Point) Electro-th erapy for Dry Eye Syndrome","EX-HN, SJ 23, G 14, S 2, S 6","EX-HN, SJ 23, G 14, S 2, S 6","TE 23, GB 14, ST 2, ST 6","EX-HN","TARA:6752232, TARA:9987270, TARA:6392753, TARA:7834226","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1142/S0192415X97000044","A Clinical Study on Physiological Response in Electroacupuncture Analgesia and Meperidine Analgesia for Colonoscopy","ST 36, ST 37, EP 11","ST 36, ST 37, EP 11","ST 36, ST 37","EP 11","TARA:6463344, TARA:5918799","","","","","","","","","","","","","","","","","","","","",""
"uri not found","A clinical study on the therapeutic effect of abdominal acupuncture in treating radicular cervical spondylosis","CV 8, Zhongwan","CV 8, Zhongwan","CV 8, CV 12","","TARA:9392275, TARA:0434959","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jep.2013.04.045","A clinical trial of acupuncture about time-varying treatment and points selection in primary dysmenorrhea","SP 6, SP 8, BL 32, EX-B 8","SP 6, SP 8, BL 32, EX-B 8","SP 6, SP 8, BL 32, Shiqizhui","","TARA:4385250, TARA:6848518, TARA:6742407, TARA:9907701","","","","","","","","","","","","","","","","","","","","",""
"uri not found","A Comparative Study Between Simple Bo's Abdominal Acupuncture and its Combination with Radiation by Electromagnetic Wave in Treating Chronic Gastritis","RN 12, RN 10, RN 6, RN 4, ST 25","RN 12, RN 10, RN 6, RN 4, ST 25","CV 12, CV 10, CV 6, CV 4, ST 25","","TARA:0434959, TARA:1822260, TARA:8833337, TARA:9921528, TARA:5717468","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1142/S0192415X91000156","A Comparative Study of Diazepam and Acupuncture in Patients with Osteoarthritis Pain: A Placebo Controlled Study","LI 3, DU 14, DU 16, DU 20, GB 20","LI 3, DU 14, DU 16, DU 20, GB 20","LI 3, GV 14, GV 16, GV 20, GB 20","","TARA:7867167, TARA:8452754, TARA:3361967, TARA:3386254, TARA:2324295","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1142/S0192415X84000088","A Comparative Study of the Pain Alleviating Effect of Vibratory Stimulation, Transcutaneous Electrical Nerve Stimulation, Electroacupuncture and Placebo","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1186/s12906-018-2087-y","A comparative study of three conservative treatments in patients with lumbar spinal stenosis: lumbar spinal stenosis with acupuncture and physical therapy study (LAP study)","BL 23, BL 25, BL 53, BL 54, BL 40, GB 34, BL 57","BL 23, BL 25, BL 53, BL 54, BL 40, GB 34, BL 57","BL 23, BL 25, BL 53, BL 54, BL 40, GB 34, BL 57","","TARA:0992296, TARA:0906448, TARA:8423766, TARA:0488267, TARA:5290080, TARA:8758950, TARA:4589241","","","","","","","","","","","","","","","","","","","","",""
