Acupoint_IRI,Acupoint_CURIE,Acupoint_Label,Acupoint_Alt_Label
http://www.acupunctureresearch.org/tara/ontology/TARA_3480360,TARA:3480360,Anmian,N-HN 54
http://www.acupunctureresearch.org/tara/ontology/TARA_1460220,TARA:1460220,BL 1,"B 1, Bladder 1, UB 1, Urinary Bladder 1, Jingming"
http://www.acupunctureresearch.org/tara/ontology/TARA_0242146,TARA:0242146,BL 10,"B 10, Bladder 10, UB 10, Urinary Bladder 10, Tianzhu"
http://www.acupunctureresearch.org/tara/ontology/TARA_1985889,TARA:1985889,BL 11,"B 11, Bladder 11, Influential Point of Bone, UB 11, Urinary Bladder 11, Dazhu"
http://www.acupunctureresearch.org/tara/ontology/TARA_5468609,TARA:5468609,BL 12,"B 12, Bladder 12, UB 12, Urinary Bladder 12, Fengmen"
http://www.acupunctureresearch.org/tara/ontology/TARA_6050541,TARA:6050541,BL 13,"B 13, Back-Shu Point of the Lung, Bladder 13, UB 13, Urinary Bladder 13, Feishu"
http://www.acupunctureresearch.org/tara/ontology/TARA_9523348,TARA:9523348,BL 14,"B 14, Back-Shu Point of the Pericardium, Bladder 14, UB 14, Urinary Bladder 14, Jueyinshu"
http://www.acupunctureresearch.org/tara/ontology/TARA_5797983,TARA:5797983,BL 15,"B 15, Back-Shu Point of the Heart, Bladder 15, UB 15, Urinary Bladder 15, Xinshu"
http://www.acupunctureresearch.org/tara/ontology/TARA_1104010,TARA:1104010,BL 16,"B 16, Dushu, Bladder 16, UB 16, Urinary Bladder 16"
http://www.acupunctureresearch.org/tara/ontology/TARA_1124682,TARA:1124682,BL 17,"B 17, Bladder 17, Influential Point of Blood, UB 17, Urinary Bladder 17, Geshu"
http://www.acupunctureresearch.org/tara/ontology/TARA_9655874,TARA:9655874,BL 18,"B 18, Back-Shu Point of the Liver, Ganshu, Bladder 18, UB 18, Urinary Bladder 18"
http://www.acupunctureresearch.org/tara/ontology/TARA_6145687,TARA:6145687,BL 19,"B 19, Back-Shu Point of the Gallbladder, Bladder 19, UB 19, Urinary Bladder 19, Danshu"
http://www.acupunctureresearch.org/tara/ontology/TARA_8104948,TARA:8104948,BL 2,"B 2, Bladder 2, UB 2, Urinary Bladder 2, Zanzhu"
http://www.acupunctureresearch.org/tara/ontology/TARA_3283628,TARA:3283628,BL 20,"B 20, Back-Shu Point of the Spleen, Bladder 20, UB 20, Urinary Bladder 20, Pishu"
http://www.acupunctureresearch.org/tara/ontology/TARA_4839095,TARA:4839095,BL 21,"B 21, Back-Shu Point of the Stomach, Bladder 21, UB 21, Urinary Bladder 21, Weishu"
http://www.acupunctureresearch.org/tara/ontology/TARA_3963382,TARA:3963382,BL 22,"B 22, Sanjiaoshu, Back-Shu Point of Triple Energizer, Bladder 22, UB 22, Urinary Bladder 22"
http://www.acupunctureresearch.org/tara/ontology/TARA_0992296,TARA:0992296,BL 23,"B 23, Back-Shu Point of the Kidney, Bladder 23, Shenshu, UB 23, Urinary Bladder 23"
http://www.acupunctureresearch.org/tara/ontology/TARA_7357260,TARA:7357260,BL 24,"B 24, Bladder 24, UB 24, Urinary Bladder 24, Qihaishu"
http://www.acupunctureresearch.org/tara/ontology/TARA_0906448,TARA:0906448,BL 25,"B 25, Back-Shu Point of the Large Intestine, Bladder 25, Dachangshu, UB 25, Urinary Bladder 25"
http://www.acupunctureresearch.org/tara/ontology/TARA_4384020,TARA:4384020,BL 26,"B 26, Bladder 26, UB 26, Urinary Bladder 26, Guanyuanshu"
http://www.acupunctureresearch.org/tara/ontology/TARA_6929444,TARA:6929444,BL 27,"B 27, Back-Shu Point of the Small Intestine, Bladder 27, UB 27, Urinary Bladder 27, Xiaochangshu"
