Acupoint_IRI,Acupoint_Curie,Acupoint,Meridian,Acupoint_Surface_Location_IRI,Acupoint_Surface_Location,Region_Within_Surface_IRI,Acupoint_Region_Within_Surface,Acupoint_Related_Nerve_IRI,Acupoint_Related_Nerve,Acupoint_Related_Artery_IRI,Acupoint_Related_Artery,Acupoint_Related_Vein_IRI,Acupoint_Related_Vein
http://purl.org/tara/ontology/TARA_1460220,TARA:1460220,BL 1,Bladder Meridian,http://purl.obolibrary.org/obo/UBERON_0001456,face,http://purl.obolibrary.org/obo/UBERON_0000019,camera-type eye,,,,,,
http://purl.org/tara/ontology/TARA_1460220,TARA:1460220,BL 1,Bladder Meridian,http://purl.obolibrary.org/obo/UBERON_0001456,face,http://purl.obolibrary.org/obo/UBERON_0005611,inner canthus,,,,,,
http://purl.org/tara/ontology/TARA_1460220,TARA:1460220,BL 1,Bladder Meridian,http://purl.obolibrary.org/obo/UBERON_0001456,face,http://purl.obolibrary.org/obo/UBERON_0004867,orbital cavity,,,,,,
http://purl.org/tara/ontology/TARA_0242146,TARA:0242146,BL 10,Bladder Meridian,http://purl.obolibrary.org/obo/UBERON_0000974,neck,http://purl.obolibrary.org/obo/UBERON_0002380,trapezius muscle,,,,,,
http://purl.org/tara/ontology/TARA_0242146,TARA:0242146,BL 10,Bladder Meridian,http://purl.obolibrary.org/obo/UBERON_0000974,neck,http://purl.obolibrary.org/obo/UBERON_0001093,vertebral bone 2,,,,,,
http://purl.org/tara/ontology/TARA_1985889,TARA:1985889,BL 11,Bladder Meridian,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,,,,,,
http://purl.org/tara/ontology/TARA_1985889,TARA:1985889,BL 11,Bladder Meridian,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004626,thoracic vertebra 1,,,,,,
http://purl.org/tara/ontology/TARA_5468609,TARA:5468609,BL 12,Bladder Meridian,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,,,,,,
http://purl.org/tara/ontology/TARA_5468609,TARA:5468609,BL 12,Bladder Meridian,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://purl.obolibrary.org/obo/UBERON_0004627,thoracic vertebra 2,,,,,,
http://purl.org/tara/ontology/TARA_6050541,TARA:6050541,BL 13,Bladder Meridian,http://purl.obolibrary.org/obo/UBERON_0008231,dorsal thoracic segment of trunk,http://uri.interlex.org/base/ilx_0795312,posterior median line,,,,,,
