Acupoint_IRI,Acupoint_Curie,Acupoint,Acupoint_Category,Synonym,Pinyin_Name,Chinese_Name,Meridian,Special_Point_Role,Location,Locational_Anatomy,Acupuncture_Method,Indications,Innervation,Nearby_Nerve,Vasculature,Nearby_Artery,Nearby_Vein,Reference
http://purl.org/tara/ontology/TARA_3480360,TARA:3480360,Anmian,Extra Acupuncture Point,N-HN 54,,,,,Midpoint between Yifeng (TE 17) and Fengchi (GB 20).,,Puncture perpendicularly 0.5-0.8 inch.,"headache, insomnia, vertigo, palpitation, mental disorders",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_6659923,TARA:6659923,Bafeng,Extra Acupuncture Point,"EX-LE 10, M-LE 8",,,,,"On the dorsum of foot, in the depressions on the webs between toes, proximal to the margins of the webs, at the junction of the red and white skin, eight points in all.",,Puncture obliquely 0.5-0.8 inch. Moxibustion is applicable.,"beriberi, redness of the dorsum of the foot, swelling of the dorsum of the foot, toe pain",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_6941032,TARA:6941032,Baichongwo,Extra Acupuncture Point,M-LE 34,,,,,1 cun above Xuehai (SP 10).,,Pu ncture perpendicularly 1.0-1.2 inches. Moxibustion is applicable.,"eczema, gastrointestinal parasitic disease, rubella",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_5153816,TARA:5153816,Bailao,Extra Acupuncture Point,"EX-HN 15, M-HN 30",,,,,"2 cun above Dazhui (GV 14), 1 cun lateral to the midline.",,Puncture perpendicularly 0.3-0.5 inch. Moxibustion is applicable.,"scrofula, asthma, cough, whooping cough, neck rigidity",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_2491709,TARA:2491709,Baxie,Extra Acupuncture Point,"EX-UE 9, M-UE 22",,,,,"On the dorsum of the hand, at the junction of the white and red skin of the hand webs, eight in all, making a loose fist to locate the points.",,"Puncture obliquely 0.3-0.5 inch, or prick to cause bleeding. Moxibustion is applicable.","contracture of the fingers, excessive heat, finger numbness, redness of the dorsum of the hand, spasm of the fingers, swelling of the dorsum of the hand",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_8343475,TARA:8343475,Bitong,Extra Acupuncture Point,M-HN 14,,,,,At the highest point of the nasolabial groove.,,Puncture subcutaneously upward 0.3-0.5 inch.,"rhinitis, nasal boils, nasal obstruction",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_8574156,TARA:8574156,Bizhong,Extra Acupuncture Point,M-UE 30,,,,,"On the lateral aspect of the forearm, midway between the transverse wrist crease and elbow crease, between the radius and the ulna.",,Puncture perpendicularly 1.0-1.2 inches. Moxibustion is applicable.,"contracture of the upper extremities, pain of the forearm, paralysis, spasm of the upper extremities",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_3145377,TARA:3145377,Dannangxue,Extra Acupuncture Point,"EX-LE 6, M-LE 23",,,,,The tender spot 1-2 cun directly below Yanglingquan (GB 34).,,Puncture perpendicularly 0.8-1.2 inches.,"acute cholecystitis, biliary ascariasis, cholelithiasis, chronic cholecystitis, muscular atrophy of the lower extremities, numbness of the lower extremities",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_8009041,TARA:8009041,Dingchuan,Extra Acupuncture Point,"EX-B 1, M-BW 1",,,,,0.5 cun lateral to Dazhui (GV 14).,neck (mammalian cervical vertebra 7),Puncture perpendicularly 0.5-0.8 inch. Moxibustion is applicable.,"rubella, asthma, cough, pain in the shoulder, neck rigidity, pain in the back",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_1317363,TARA:1317363,Erbai,Extra Acupuncture Point,"EX-UE 2, M-UE 29",,,,,"On the metacarpal aspect of the forearm, 4 cun above the transverse wrist crease, on the both sides of the tendon of m. flexor carpi radialis, two points on one hand.",,Puncture perpendicularly 0.5- 1.0 inch. Moxibustion is applicable.,"hemorrhoids, prolapse of the rectum",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_5660399,TARA:5660399,Erjian,Extra Acupuncture Point,"EX-HN 6, M-HN 10",,,,,"Fold the auricle, the point is at the apex of the auricle.",,Puncture perpendicularly 0.1-0.2 inch or prick to cause bleeding.,"febrile disease, nebula, pain in the eye, redness of the eye, swelling of the eye",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_3748376,TARA:3748376,Heding,Extra Acupuncture Point,"EX-LE 2, M-LE 27",,,,,In the depression of the midpoint of the superior patellar border.,knee (patella),Puncture perpendicularly 0.1-0.5 inch. Moxibustion is applicable.,"knee pain, paralysis, weakness of the foot, weakness of the leg",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_3735582,TARA:3735582,Huanzhong,Extra Acupuncture Point,M-BW 34,,,,,Midway between Huantiao (GB 30) and Yaoshu (GV 2).,,Puncture perpendicularly 1.5-2.0 inches. Moxibustion is applicable.,"lumbar pain, thigh pain",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_3734471,TARA:3734471,Huatuojiaji,Extra Acupuncture Point,"EX-B 2, Jiaji, M-BW 35",,,,,"A group of 34 points on both sides of the spinal column, 0.5 cun lateral to the lower border of each spinous process from the first thoracic vertebra to the fifth lumbar vertebra.","process of vertebra (thoracic vertebra 8, thoracic vertebra 2, thoracic vertebra 1, lumbar vertebra 3, lumbar vertebra 5, thoracic vertebra 6, thoracic vertebra 5, thoracic vertebra 3, thoracic vertebra 7, lumbar vertebra 4, thoracic vertebra 4, lumbar vertebra 1, lumbar vertebra 2)","Puncture perpendicularly 0.5-1.0 inch in the cervical and chest region, puncture perpendicularly 1.0-1.5 inches in the lumbar region. Moxibustion is applicable.",,,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_1338884,TARA:1338884,Jiachengjiang,Extra Acupuncture Point,M-HN 18,,,,,1 cun lateral to Chengjiang (CV 24).,,Puncture obliquely 0.5-1.0 inch..,"deviation of the eye, deviation of the mouth, pain in the face, spasm of facial muscle",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_9492402,TARA:9492402,Jianqian,Extra Acupuncture Point,"Jianneiling, M-UE 48",,,,,Midway between the end of the anterior axillary fold and Jianyu (LI 15).,,Puncture perpendicularly 0.8-1.2 inches. Moxibustion is applicable.,"pain in the arm, pain in the shoulder, paralysis in the upper extremities",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_3641900,TARA:3641900,Jinjing,Extra Acupuncture Point,"EX-HN 12, Jinjin, M-HN 20a",,,,,"On the veins on both sides of the frenulum of the tongue, Jinjin is on the left, Yuye, on the right.",,Prick to cause bleeding.,"vomiting, aphasia with stiffness of tongue, swelling of the tongue",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
http://purl.org/tara/ontology/TARA_7532145,TARA:7532145,Lanweixue,Extra Acupuncture Point,"EX-LE 7, M-LE 13",,,,,The tender spot about 2 cun below Zusanli (ST 36).,,Puncture perpendicularly 1.0-1.2 inches.,"acute appendicitis, chronic appendicitis, indigestion, paralysis in the lower extremities",,,,,,"Chinese Acupuncture and Moxibustion. Edited by C. Xinnong, Rev. Ed., Foreign Languages Press, Beijing, China, 1999. Ch. 10, Sec. III, The Extra Points. ISBN 978-7-119-01758-7.
[Additional Synonyms] Acupuncture: A Comprehensive Text. Shanghai College of Traditional Medicine. Translated and edited by J. O'Connor and D. Bensky. Chicago: Eastland Press, 1981. Section II, Ch. 8: Other New and Miscellaneous Points."
