Paper_ID,Artcle-URI,Article-Title,Condition-Extracted-Western,Normalized-Condition-Western,MONDO-OR-HP-Term,Exact-OR-Synonym,MONDO-OR-HP-Term-URI,Comment from TEAM-Core
1555,,"A one year follow-up study on the effects of acupuncture in the treatment of stroke patients in the subacute stage: a randomized, controlled study",Stroke (hemiparesis due to cerebral infarction or cerebral hemorrhage),,,,,
1626,,A randomised-controlled trial in Sweden of acupuncture and care interventions for the relief of inflammatory symptoms of the breast during lactation,Mastitis (inflammatory symptoms of the breast during lactation),,,,,
1870,,Acupuncture and acupressure for pain management in labour and birth: A critical narrative review of current systematic review evidence,Pain during labor,,,,,
1217,,Acupuncture for Bell's palsy,Bell's palsy or idiopathic facial palsy,,,,,
1715,,Cochrane Database of Systematic Reviews Acupuncture for menopausal hot flushes (Review),Hot flushes (menopausal vasomotor symptom),,,,,
1858,,Immediate Analgesia Effect of Single Point Acupuncture in Primary Dysmenorrhea: A Randomized Controlled Trialp me_1017 300..307,Primary dysmenorrhea,,,,,
899,,Insomnia Due to Deficiency of Both the Heart and Spleen Treated by Acupuncture Moxibustion and Chinese Tuina,Insomnia,,,,,
1253,,Integrat ing Patient Preferen ces in Clinical Trials: A Pilot Study of Acupunc ture Versus Midazolam for Gastroscopy,Not specified (the paper does not specify a particular disease or condition being studied; it focuses on the procedure and pretreatment options),,,,,
1847,,Interventions for preventing and treating low-back and pelvic pain during pregnancy (Review),Low-back pain (LBP) and pelvic pain (PP),,,,,
1861,,Reducing vasomotor symptoms with acupuncture in breast cancer patients treated with adjuvant tamoxifen- a randomized controlled trial,Not applicable (the study is conducted on healthy volunteers without a specific disease or condition),,,,,
1014,,Stimulation of the wrist acupuncture point PC6 for preventing postoperative nausea and vomiting,Postoperative nausea and vomiting (PONV),,,,,
1518,,Acupuncture and occlusal splint therapyin the treatment of craniomandibular disorders,Craniomandibular disorders (CMD),,,,,
1854,,Combined Acupuncture-moxibustion and Psychotherapy for Perimenopause Syndrome,Perimenopause syndrome,,,,,
