"Artcle-URI","Article-Title","Condition-Extracted-Western","Normalized-Condition-Western","Condition-Extracted-TCM","Normalized-Condition-TCM","Comment from TEAM-Core","MONDO-OR-HP-Term","Exact-OR-Synonym","MONDO-OR-HP-Term-URI","","","","","","","","","","","","","","","","","","",""
"10.1007/s11655-011-0701-7","Acupuncture for Treating Attention Defi cit Hyperactivity Disorder: A Systematic Review and Meta Analysis","Attention Deficit Hyperactivity Disorder (ADHD)","Attention Deficit Hyperactivity Disorder (ADHD)","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine terminology)","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"10.1111/j.1526-4637.2010.01017.x","Immediate Analgesia Effect of Single Point Acupuncture in Primary Dysmenorrhea: A Randomized Controlled Trial","Primary dysmenorrhea","Primary dysmenorrhea","Not specified (the paper does not provide a specific TCM term for primary dysmenorrhea)","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"10.1111/jgs.13164","Effect of press needles on swallowing reflex in older adults with cerebrovascular disease: A randomized double-blind controlled trial","Cerebrovascular disease (stroke) with dysphasia","Cerebrovascular disease (stroke) with dysphasia","Not specified (the paper does not explicitly mention a TCM condition)","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"10.1134/S1047197911010054","A Clinical Observation on Treating Periarthritis of the Shoulder by Needling at Yinlingquan (SP9) Combined with Manipulation","Periarthritis of the shoulder","Periarthritis of the shoulder","Periarthritis of the shoulder is referred to as 'leaking shoulder wind,' 'locking shoulder wind,' 'shoulder curdling disease,' 'shoulder rheumatism,' and 'shoulder blade rheumatism' in Traditional Chinese Medicine.","Periarthritis of the shoulder is referred to as 'leaking shoulder wind,' 'locking shoulder wind,' 'shoulder curdling disease,' 'shoulder rheumatism,' and 'shoulder blade rheumatism' in Traditional Chinese Medicine.","","","","","","","","","","","","","","","","","","","","","","",""
"10.3109/00016359209012785","Acupuncture and occlusal splint therapy in the treatment of craniomandibular disorders. 11. A l year follow up study","Craniomandibular disorders (CMD) with primarily myogenic symptoms","Craniomandibular disorders (CMD) with primarily myogenic symptoms","Not specified (the paper does not explicitly translate CMD into TCM terminology)","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archinte.158.20.2235","Acupuncture for Back Pain A Meta-Analysis of Randomized Controlled Trials","Back pain","Back pain","Not specified","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archinte.158.20.2251","Randomized Trial of Acupuncture for Nicotine Withdrawal Symptoms","Nicotine Withdrawal Symptoms","Nicotine Withdrawal Symptoms","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archinte.160.15.2305","A Randomized Controlled Trial of Auricular Acupuncture for Cocaine Dependence","Cocaine addiction","Cocaine addiction","Not specified (the paper does not explicitly mention a TCM condition or terminology)","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archinte.161.8.1081","Randomized Trial Comparing Traditional Chinese Medical Acupuncture, Therapeutic Massage, and Self-care Education for Chronic Low Back Pain","Chronic Low Back Pain","Chronic Low Back Pain","Not specified (the paper does not provide a specific TCM term or diagnosis for chronic low back pain)","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archinte.165.17.2026","Acupuncture for Subacute Stroke Rehabilitation A Sham-Controlled, Subject-and Assessor-Blind, Randomized Trial","Stroke","Stroke","Not specified (the paper does not provide TCM terminology for the condition being studied)","Excess or deficiency of the yin and yang","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archinte.166.4.450","Acupuncture in Patients With Chronic Low Back Pain A Randomized Controlled Trial","Chronic low back pain","Chronic low back pain","Not specified (the paper does not provide a TCM diagnosis for the condition)","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archinte.167.17.1892","German Acupuncture Trials (GERAC) for Chronic Low Back Pain Randomized, Multicenter, Blinded, Parallel-Group Trial With 3 Groups","Chronic low back pain","Chronic low back pain","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine (TCM) terminology)","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archinternmed.2009.65","A Randomized Trial Comparing Acupuncture, Simulated Acupuncture, and Usual Care for Chronic Low Back Pain","Chronic low back pain","Chronic low back pain","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archophthalmol.2010.306","Randomized Controlled Trial of Patching vs Acupuncture for Anisometropic Amblyopia in Children Aged 7 to 12 Years","Anisometropic Amblyopia","Anisometropic Amblyopia","Not specified (the paper does not provide a TCM term for anisometropic amblyopia)","Not specified (the paper does not provide a TCM term for anisometropic amblyopia)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archotol.125.3.269","Acupuncture as a Treatment for Temporomandibular Joint Dysfunction A Systematic Review of Randomized Trials","Temporomandibular joint dysfunction (TMJD)","Temporomandibular joint dysfunction (TMJD)","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archotol.125.5.567","Evaluation of Acupuncture for Pain Control After Oral Surgery A Placebo-Controlled Trial","Postoperative oral surgery pain","Postoperative oral surgery pain","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archotol.126.4.489","Efficacy of Acupuncture as a Treatment for Tinnitus A Systematic Review","Tinnitus","Tinnitus","Not specified (the paper does not provide a TCM term or description for tinnitus)","Not specified (the paper does not provide a TCM term or description for tinnitus)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/jama.2013.285478","Acupuncture for Chronic Pain","Chronic pain","Chronic pain","Not specified (the paper does not provide TCM terminology for the conditions studied)","Not specified (the paper does not provide TCM terminology for the conditions studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/jama.2014.12660","Acupuncture for Chronic Knee Pain A Randomized Clinical Trial","Chronic knee pain (typically due to osteoarthritis)","Chronic knee pain (typically due to osteoarthritis)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/jama.280.18.1590","Acupuncture and Amitriptyline for Pain Due to HIV-Related Peripheral Neuropathy A Randomized Controlled Trial","HIV-related peripheral neuropathy","HIV-related peripheral neuropathy","Not specified (the paper does not explicitly translate the condition into TCM terminology)","Not specified (the paper does not explicitly translate the condition into TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/jama.281.9.818","Percutaneous Electrical Nerve Stimulation for Low Back Pain A Randomized Crossover Study","Low Back Pain (LBP) secondary to degenerative disk disease","Low Back Pain (LBP) secondary to degenerative disk disease","Not specified (the paper does not provide a Traditional Chinese Medicine (TCM) equivalent for the condition being studied)","Not specified (the paper does not provide a Traditional Chinese Medicine (TCM) equivalent for the condition being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/jama.284.21.2755","Electroacupuncture for Control of Myeloablative Chemotherapy-Induced Emesis A Randomized Controlled Trial","Emesis associated with myeloablative chemotherapy in breast cancer patients","Emesis associated with myeloablative chemotherapy in breast cancer patients","Not specified (the paper does not provide a specific TCM diagnosis or condition related to the emesis being studied)","Not specified (the paper does not provide a specific TCM diagnosis or condition related to the emesis being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/jama.287.1.55","Acupuncture for the Treatment of Cocaine Addiction A Randomized Controlled Trial","Cocaine addiction","Cocaine addiction","Not specified (the paper does not mention TCM terminology or conditions)","Not specified (the paper does not mention TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/jama.293.17.2118","Acupuncture for Patients With Migraine A Randomized Controlled Trial","Migraine","Migraine","Not specified (the paper does not provide TCM terminology for the condition)","Not specified","done:TCM","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD000008","Acupuncture for chronic asthma","Asthma (chronic)","Asthma (chronic)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
